页号,章节/方法名,方法标识符,函数签名,说明
532,删除参数,,,"删除参数 Online Help 删除参数 RemoveParameter 函数 RemoveParameter 函数 删除参数。 SSParameter.RemoveParameter(strSection, strKeyName) 参数 strSection 组名 strKeyName 约定的关"
533,设置日期型参数,,,"设置日期型参数 Online Help 设置日期型参数 SetParameterDATE 函数 SetParameterDATE 函数 设置日期型参数。 SSParameter.SetParameterDATE(strSection, strKeyName, keyValue) 参数 strSect"
534,设置浮点型参数,,,"设置浮点型参数 Online Help 设置浮点型参数 SetParameterDBL 函数 SetParameterDBL 函数 设置浮点型参数。 SSParameter.SetParameterDBL(strSection, strKeyName, keyValue) 参数 strSection"
535,设置整型参数,GetProjectFileName,"SSProcess.GetAccessRecordCount(edbname ,sql)","设置整型参数 Online Help 设置整型参数 SetParameterINT 函数 SetParameterINT 函数 设置整型参数。 SSParameter.SetParameterINT(strSection, strKeyName, keyValue) 参数 strSection 组名"
536,设置字符型参数,,,"设置字符型参数 Online Help 设置字符型参数 SetParameterSTR 函数 SetParameterSTR 函数 设置字符型参数。 SSParameter.SetParameterSTR(strSection, strKeyName, keyValue) 参数 strSection"
537,设置指针型参数,,,"设置指针型参数 Online Help 设置指针型参数 SetParameterVOID 函数 SetParameterVOID 函数 设置指针型参数。 SSParameter.SetParameterVOID(strSection, strKeyName, keyValue) 参数 strSect"
538,SSFunc对象参考,,,SSFunc对象参考 Online Help SSFunc 对象参考 SSFunc 对象参考 扩展函数库
539,扩展函数库,,,扩展函数库 Online Help 扩展函数库 扩展函数库 字符转双精度型，自动处理非法数据 atof 字符转整型，自动处理非法数据 atol 自动延伸裁剪 AutoTrimExtend 关闭 LOG 文件 CloseLogFile 根据选择集生成图例 CreateLegend 折线与折现集求交 C
540,字符转双精度型，自动处理非法数据,,,字符转双精度型，自动处理非法数据 Online Help 字符转双精度型，自动处理非法数据 atof 函数 atof 函数 字符转双精度型。 SSFunc.atof (str) 参数 str 需转换的字符 说明 该函数用于字符转双精度类型，自动处理非法数据。 示例 Sub OnClick() str
541,字符转整型，自动处理非法数据,,,字符转整型，自动处理非法数据 Online Help 字符转整型，自动处理非法数据 atol 函数 atol 函数 字符转整型，自动处理非法数据。 SSFunc.atol (str) 参数 str 字符串 说明 该函数将字符型转整型，自动处理非法数据。 示例 Sub OnClick() strEmp
542,自动延伸裁剪,PushUndoMark,SSProcess.PushUndoMark,"自动延伸裁剪 Online Help 自动延伸裁剪 AutoTrimExtend 函数 AutoTrimExtend 函数 自动延伸裁剪。 SSFunc.AutoTrimExtend(strTargetCode, strBorderCode, strParameters) 参数 strTargetC"
543,关闭LOG文件,GetProjectFileName,SSProcess.GetProjectFileName,"关闭LOG文件 Online Help 关闭 LOG 文件 CloseLogFile 函数 CloseLogFile 函数 关闭 LOG 文件。 SSFunc.CloseLogFile(strFile, strPostfix, nShowLogFile) 参数 strFile 设置 LOG 文件的路"
544,根据选择集生成图例,,,"根据选择集生成图例 Online Help 根据选择集生成图例 CreateLegend 函数 CreateLegend 函数 根据选择集生成图例。 SSFunc.CreateLegend(strSchemeName, dbX, dbY) 参数 strSchemeName 方案名称 dbX 生成图例"
545,折线与折线集求交,,,"折线与折线集求交 Online Help 折线与折线集求交 CrossLines 函数 CrossLines 函数 折线与折线集求交。 SSFunc.CrossLines(strIdOrXY, strNearIds, xArray, yArray, idArray) 参数 说明"
546,地物指针列表操作,,,"地物指针列表操作 Online Help 地物指针列表操作 DealObjectHander 函数 DealObjectHander 函数 地物指针列表操作。 SSFunc.DealObjectHander(vArrayObj, nCount, strMethod, strParameters) 参"
547,岛面删除,ClearSelection,"SSProcess.GetSelGeoValue (i , &quot;SSObj_ID&quot; )","岛面删除 Online Help 岛面删除 DeleteIsLand 函数 DeleteIsLand 函数 岛面删除。 SSFunc.DeleteIsLand(hObj, bIsObjHander, strParameters) 参数 hObj 地物 ID bIsObjHander strParam"
548,EXCEL操作，关闭EXCEL文件,,,"EXCEL操作，关闭EXCEL文件 Online Help EXCEL 操作，关闭 EXCEL 文件 ExcelClose 函数 ExcelClose 函数 EXCEL 操作，关闭 EXCEL 文件。 SSFunc.ExcelClose(strFile, strSheet) 参数 strFile E"
549,EXCEL操作，获取EXCEL记录,,,"EXCEL操作，获取EXCEL记录 Online Help EXCEL 操作，获取 EXCEL 记录 ExcelGetRecord 函数 ExcelGetRecord 函数 EXCEL 操作，获取 EXCEL 记录。 SSFunc.ExcelGetRecord(strFields, strSepar"
550,EXCEL操作，获取EXCEL总行数,,,EXCEL操作，获取EXCEL总行数 Online Help EXCEL 操作，获取 EXCEL 总行数 ExcelGetTotalRow 函数 ExcelGetTotalRow 函数 EXCEL 操作，获取 EXCEL 总行数。 SSFunc.ExcelGetTotalRow() 参数 返回值 E
551,EXCEL操作，打开EXCEL文件,,,"EXCEL操作，打开EXCEL文件 Online Help EXCEL 操作，打开 EXCEL 文件 ExcelOpen 函数 ExcelOpen 函数 EXCEL 操作，打开 EXCEL 文件。 SSFunc.ExcelOpen(strFile, strSheet) 参数 strFile Exce"
552,EXCEL操作，选择EXCEL文件,,,EXCEL操作，选择EXCEL文件 Online Help EXCEL 操作，选择 EXCEL 文件 ExcelSelectFile 函数 ExcelSelectFile 函数 EXCEL 操作，选择 EXCEL 文件。 SSFunc.ExcelSelectFile(strFile) 参数 arFi
553,点列中是否有指定标记的点,,,"点列中是否有指定标记的点 Online Help 点列中是否有指定标记的点 GetAverageWidth 函数 GetAverageWidth 函数 点列中是否有指定标记的点。 SSFunc.GetAverageWidth(hObj, bIsObjHander, dbReturnLength) 参"
554,获取二进制位的值,,,"获取二进制位的值 Online Help 获取二进制位的值 GetBinaryBitValue 函数 GetBinaryBitValue 函数 获取二进制位的值。 SSFunc.GetBinaryBitValue(nData, nBit) 参数 nData nBit 说明 获取二进制位的值。"
555,获取汉字数字,,,获取汉字数字 Online Help 获取汉字数字 GetChineseDigit 函数 GetChineseDigit 函数 获取汉字数字。 SSFunc.GetChineseDigit(nDigit) 参数 nDigit 要获取汉字的数字 ( 取值范围为 0-999) 说明 使用此函数获取数字的
556,通过ObjectName获取编码,ClearSelection,"SSProcess.GetSelGeoValue ( i, &quot;SSObj_ID&quot; )",通过ObjectName获取编码 Online Help 通过 ObjectName 获取编码 GetCodeByObjectName 函数 GetCodeByObjectName 函数 通过 ObjectName 获取编码。 SSFunc.GetCodeByObjectName(strObject
557,获取扩展属性默认值,ClearSelection,SSProcess.GetSelGeoCount(),"获取扩展属性默认值 Online Help 获取扩展属性默认值 GetDefaultAttrValue 函数 GetDefaultAttrValue 函数 获取扩展属性默认值。 SSFunc.GetDefaultAttrValue(nCode, vFields, nFieldCount, vDefa"
558,获取点到折线的最近距离平方,,,"获取点到折线的最近距离平方 Online Help 获取点到折线的最近距离平方 GetNearstDistSquare 函数 GetNearstDistSquare 函数 获取点到折线的最近距离平方。 SSFunc.GetNearstDistSquare(spx, spy, xPoints, yPo"
559,获取地物列表的外接矩形,ClearSelection,"SSProcess.GetSelGeoValue ( i , &quot;SSObj_ID&quot; )","获取地物列表的外接矩形 Online Help 获取地物列表的外接矩形 GetObjectRect 函数 GetObjectRect 函数 获取地物列表的外接矩形。 SSFunc.GetObjectRect(vArrayObj, nCount, bIsObjHander, vArrayRect) 参"
560,获取带号,,,获取带号 Online Help 获取带号 GetStripNumber 函数 GetStripNumber 函数 获取带号。 SSFunc.GetStripNumber() 参数 说明 执行该函数，将返回当前图幅带号。 示例 先对当前图幅代号进行设定为 40 ，再对其进行获取。 Sub OnCli
561,点列中是否有指定标记的点,,,"点列中是否有指定标记的点 Online Help 点列中是否有指定标记的点 HasPointMark 函数 HasPointMark 函数 点列中是否有指定标记的点。 SSFunc.HasPointMark(hObj, nBitValue, bIsObjHander) 参数 hObj nBitVal"
562,多义线（折线）分解,,,多义线（折线）分解 Online Help 多义线（折线）分解 LineCrack 函数 LineCrack 函数 多义线（折线）分解。 SSFunc.LineCrack()
563,平移地物,,,"平移地物 Online Help 平移地物 OffsetObjList 函数 OffsetObjList 函数 平移地物。 SSFunc.OffsetObjList(vArrayObj, nCount, bIsObjHander, bSaveToMap, x, y, z) 参数 vArrayObj "
564,打开LOG文件,GetProjectFileName,SSProcess.GetProjectFileName,"打开LOG文件 Online Help 打开 LOG 文件 OpenLogFile 函数 OpenLogFile 函数 打开 LOG 文件。 SSFunc.OpenLogFile(strFile, strPostfix) 参数 strFile 设置 LOG 文件的路径 strPostfix 设置 L"
565,输出指定范围内的图形到BMP图片,CreateNewObj,SSProcess.CreateNewObj,"输出指定范围内的图形到BMP图片 Online Help 输出指定范围内的图形到 BMP 图片 OutputGraphToBmp 函数 OutputGraphToBmp 函数 输出指定范围内的图形到 BMP 图片。 SSFunc.OutputGraphToBmp(minX, minY, maxX, "
566,分解字符串，返回分解后的数组及数组元素个数,,,"分解字符串，返回分解后的数组及数组元素个数 Online Help 分解字符串，返回分解后的数组及数组元素个数 ScanString 函数 ScanString 函数 分解字符串，返回分解后的数组及数组元素个数。 SSFunc.ScanString(str, strSeparator, vArray"
567,选择分级属性,,,"选择分级属性 Online Help 选择分级属性 SelectGradeAttr 函数 SelectGradeAttr 函数 选择分级属性。 SSFunc.SelectGradeAttr(strTable, strFields, strTitle) 参数 strTable 属性表名称 strFie"
568,设置二进制位的值,,,"设置二进制位的值 Online Help 设置二进制位的值 SetBinaryBitValue 函数 SetBinaryBitValue 函数 设置二进制位的值。 SSFunc.SetBinaryBitValue(nData, nBit)"
569,设置文本数据到剪切板,,,设置文本数据到剪切板 Online Help 设置文本数据到剪切板 SetClipboardData 函数 SetClipboardData 函数 设置文本数据到剪切板。 SSFunc.SetClipboardData(strData)
570,设置带号,,,设置带号 Online Help 设置带号 SetStripNumber 函数 SetStripNumber 函数 设置带号。 SSFunc.SetStripNumber(nStripNumber) 参数 nStripNumber 带号 说明 执行该函数，将按指定带号，重置当前工程的投影带号。 示例
571,排序,,,"排序 Online Help 排序 SortArray 函数 SortArray 函数 排序。 SSFunc.SortArray(vArray, nCount, nType) 参数 vArray 数组名称 nCount 个数 nType 排序类型 nType=0 时按数字与非数字组合排序，例如结果如"
572,对数组按值排序,ClearSelection,SSProcess.GetSelGeoCount(),"对数组按值排序 Online Help 对数组按值排序 SortArrayByValue 函数 SortArrayByValue 函数 对数组按值排序。 SSFunc.SortArrayByValue(arValue, arKey, nCount, nAscending, nType) 参数 arV"
573,对地物按分支排序,,,"对地物按分支排序 Online Help 对地物按分支排序 SortByBranch 函数 SortByBranch 函数 对地物按分支排序。 SSFunc.SortByBranch(vArrayObj, nCount, bIsObjHander, strParameter)"
574,汉字转拼音,PushUndoMark,"SSProcess.GetSelNoteValue(i, &quot;SSObj_ID&quot; )","汉字转拼音 Online Help 汉字转拼音 TransHZ2PY 函数 TransHZ2PY 函数 汉字转拼音。 SSFunc.TransHZ2PY(strHZ, nMakeUpper) 参数 strHZ 输入的汉字 nMakeUpper 说明 使用此函数将汉字转换成拼音。 示例 将注记内容转换"
575,写LOG文件,GetProjectFileName,SSProcess.GetProjectFileName,写LOG文件 Online Help 写 LOG 文件 WriteLogFile 函数 WriteLogFile 函数 写 LOG 文件。 SSFunc.WriteLogFile(strText) 参数 strText 需要写入 LOG 文件的字符串 说明 执行该函数，将字符串写入 LOG 日志文件
576,SSProject对象参考,,,SSProject对象参考 Online Help SSProject 对象参考 SSProject 对象参考 工程管理函数
577,工程管理函数,,,工程管理函数 Online Help 工程管理函数 工程管理函数 关闭数据源 CloseDataSource 关闭地图 CloseMap 创建数据源 CreateDataSource 创建图层 CreateLayer 创建地图 CreateMap 删除图层 DeleteLayer 获取活动数据源句柄
578,关闭数据源,ClearSelection,SSProcess.ClearSelection,"关闭数据源 Online Help 关闭数据源 CloseDataSource 函数 CloseDataSource 函数 关闭数据源。 SSProject.CloseDataSource(mapHandle, datasourceHandle) 参数 mapHandle 地图句柄 datasour"
579,关闭地图,,,关闭地图 Online Help 关闭地图 CloseMap 函数 CloseMap 函数 关闭地图。 SSProject.CloseMap(mapHandle) 参数 mapHandle 地图句柄 说明 示例 Sub OnClick () mapHandle = SSProject.GetActi
580,创建数据源,,,"创建数据源 Online Help 创建数据源 CreateDataSource 函数 CreateDataSource 函数 创建数据源。 SSProject.CreateDataSource(datasourceHandle, datasourceName, mapScale, datasour"
581,创建图层,,,"创建图层 Online Help 创建图层 CreateLayer 函数 CreateLayer 函数 创建图层。 SSProject.CreateLayer(layerHandle, layerName) 参数 layerHandle 图层句柄 layerName 层名 说明"
582,创建地图,,,"创建地图 Online Help 创建地图 CreateMap 函数 CreateMap 函数 创建地图。 SSProject.CreateMap(templateName, mapName) 参数 templateName 模板名称 mapName 地图名称 说明"
583,删除图层,,,删除图层 Online Help 删除图层 DeleteLayer 函数 DeleteLayer 函数 删除图层。 SSProject.SSProject.DeleteLayer( layerName) 参数 layerName 要删除的图层名称 说明 执行该函数， 将先删除图层内的所有对象，后删除
584,获取活动数据源句柄,,,获取活动数据源句柄 Online Help 获取活动数据源句柄 GetActiveDatasource 函数 GetActiveDatasource 函数 获取活动数据源句柄。 SSProject.GetActiveDatasource(mapHandle) 参数 mapHandle 数据源句柄 说
585,获取活动地图句柄,,,获取活动地图句柄 Online Help 获取活动地图句柄 GetActiveMap 函数 GetActiveMap 函数 获取活动地图句柄。 SSProject.GetActiveMap() 参数 说明 执行该函数，将返回当前活动工程的句柄。 示例 Sub OnClick() Msgbox SSP
586,获取活动工程句柄,,,获取活动工程句柄 Online Help 获取活动工程句柄 GetActiveProject 函数 GetActiveProject 函数 获取活动工程句柄。 SSProject.GetActiveProject() 参数 说明 直接返回当前活动工程句柄。 示例 Sub OnClick() Msgb
587,获取数据源句柄,,,"获取数据源句柄 Online Help 获取数据源句柄 GetDataSource 函数 GetDataSource 函数 获取数据源句柄。 SSProject.GetDataSource(mapHandle, index) 参数 mapHandle 地图句柄 index 序号 说明 示例 Sub "
588,根据数据源名称获取数据源句柄,,,"根据数据源名称获取数据源句柄 Online Help 根据数据源名称获取数据源句柄 GetDataSourceByname 函数 GetDataSourceByname 函数 根据数据源名称获取数据源句柄。 SSProject.GetDataSourceByname(mapHandle, datas"
589,获取数据源信息,,,"获取数据源信息 Online Help 获取数据源信息 GetDataSourceInfo 函数 GetDataSourceInfo 函数 获取数据源信息。 SSProject.GetDataSourceInfo(datasourceHandle, keyName) 参数 datasourceHan"
590,获取数据源的图层句柄,,,"获取数据源的图层句柄 Online Help 获取数据源的图层句柄 GetDataSourceLayer 函数 GetDataSourceLayer 函数 获取数据源的图层句柄。 SSProject.GetDataSourceLayer(datasourceHandle, index) 参数 dat"
591,根据层名获取数据源的图层句柄,,,根据层名获取数据源的图层句柄 Online Help 根据层名获取数据源的图层句柄 GetDataSourceLayerByname 函数 GetDataSourceLayerByname 函数 根据层名获取数据源的图层句柄。 SSProject.GetDataSourceLayerByname(d
592,获取数据源的图层数,,,获取数据源的图层数 Online Help 获取数据源的图层数 GetDataSourceLayerCount 函数 GetDataSourceLayerCount 函数 获取数据源的图层数。 SSProject.GetDataSourceLayerCount(datasourceHandle) 参
593,获取图层信息,,,"获取图层信息 Online Help 获取图层信息 GetLayerInfo 函数 GetLayerInfo 函数 获取图层信息。 SSProject.GetLayerInfo(layerHandle, keyName) 参数 layerHandle 图层句柄 keyName 关键字 说明 示例 S"
594,获取地图句柄,,,"获取地图句柄 Online Help 获取地图句柄 GetMap 函数 GetMap 函数 获取地图句柄。 SSProject.GetMap(index) 参数 index 地图的索引号 , 从 0 开始 说明 执行该函数，获取指定地图索引的句柄 。 示例 Sub OnClick() SSProje"
595,获取地图个数,,,获取地图个数 Online Help 获取地图个数 GetMapCount 函数 GetMapCount 函数 获取地图个数。 SSProject.GetMapCount() 参数 说明 执行该函数，可以获取当前工程地图的个数 。 示例 Sub OnClick () MapCount = SSPro
